2025-06-12 18:32:46,275 INFO    StreamThr :4647 [internal.py:wandb_internal():87] W&B internal server running at pid: 4647, started at: 2025-06-12 18:32:46.274607
2025-06-12 18:32:46,277 DEBUG   HandlerThread:4647 [handler.py:handle_request():144] handle_request: status
2025-06-12 18:32:46,279 INFO    WriterThread:4647 [datastore.py:open_for_write():85] open: /home/trudes/Projects/t-prime/wandb/run-20250612_183246-sozxix2q/run-sozxix2q.wandb
2025-06-12 18:32:46,279 DEBUG   SenderThread:4647 [sender.py:send():336] send: header
2025-06-12 18:32:46,304 DEBUG   SenderThread:4647 [sender.py:send():336] send: run
2025-06-12 18:32:46,700 DEBUG   HandlerThread:4647 [handler.py:handle_request():144] handle_request: check_version
2025-06-12 18:32:46,700 INFO    SenderThread:4647 [dir_watcher.py:__init__():216] watching files in: /home/trudes/Projects/t-prime/wandb/run-20250612_183246-sozxix2q/files
2025-06-12 18:32:46,700 INFO    SenderThread:4647 [sender.py:_start_run_threads():1067] run started: sozxix2q with start time 1749767566.273856
2025-06-12 18:32:46,700 DEBUG   SenderThread:4647 [sender.py:send_request():363] send_request: summary_record
2025-06-12 18:32:46,701 INFO    SenderThread:4647 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2025-06-12 18:32:46,701 DEBUG   SenderThread:4647 [sender.py:send_request():363] send_request: check_version
2025-06-12 18:32:46,812 DEBUG   HandlerThread:4647 [handler.py:handle_request():144] handle_request: run_start
2025-06-12 18:32:46,862 DEBUG   HandlerThread:4647 [system_info.py:__init__():31] System info init
2025-06-12 18:32:46,862 DEBUG   HandlerThread:4647 [system_info.py:__init__():46] System info init done
2025-06-12 18:32:46,862 INFO    HandlerThread:4647 [system_monitor.py:start():151] Starting system monitor
2025-06-12 18:32:46,862 INFO    SystemMonitor:4647 [system_monitor.py:_start():116] Starting system asset monitoring threads
2025-06-12 18:32:46,862 INFO    HandlerThread:4647 [system_monitor.py:probe():172] Collecting system info
2025-06-12 18:32:46,863 INFO    SystemMonitor:4647 [interfaces.py:start():168] Started cpu
2025-06-12 18:32:46,863 INFO    SystemMonitor:4647 [interfaces.py:start():168] Started disk
2025-06-12 18:32:46,864 INFO    SystemMonitor:4647 [interfaces.py:start():168] Started gpu
2025-06-12 18:32:46,864 INFO    SystemMonitor:4647 [interfaces.py:start():168] Started memory
2025-06-12 18:32:46,865 INFO    SystemMonitor:4647 [interfaces.py:start():168] Started network
2025-06-12 18:32:46,883 DEBUG   HandlerThread:4647 [system_info.py:probe():195] Probing system
2025-06-12 18:32:46,931 DEBUG   HandlerThread:4647 [system_info.py:_probe_git():180] Probing git
2025-06-12 18:32:46,939 DEBUG   HandlerThread:4647 [system_info.py:_probe_git():188] Probing git done
2025-06-12 18:32:46,939 DEBUG   HandlerThread:4647 [system_info.py:probe():241] Probing system done
